Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
MMPB,America/Mexico_City,1980-02-21,48.20,75.20,44.60,55.40,0.00,4.70,,SW,6.21,9.32,,,,,NCD,no cloud detected,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-02-22,50.00,75.20,46.40,60.80,0.00,2.30,,SE,6.21,7.00,,,,,NCD,no cloud detected,CLR,clear,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-02-23,73.40,73.40,53.60,57.20,2.24,4.70,,S,6.21,9.32,,,,,NCD,no cloud detected,ICC01,one okta - 1/10 or less but not zero,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-02-24,48.20,71.60,41.00,53.60,0.00,2.30,,S,6.21,12.43,,,,,NCD,no cloud detected,ICC01,one okta - 1/10 or less but not zero,IWC04,smoke,FU,smoke,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-02-25,64.40,68.00,50.00,51.80,2.24,9.21,,NE,6.21,9.32,,,,,CLR,clear,FEW,mostly clear,IWC06,dust,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-02-26,64.40,66.20,48.20,51.80,2.24,6.93,,N,6.21,20.00,,,,,CLR,clear,ICC01,one okta - 1/10 or less but not zero,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-02-27,42.80,69.80,41.00,53.60,0.00,5.82,,SE,6.21,20.00,,,,,NCD,no cloud detected,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-02-28,44.60,66.20,41.00,50.00,0.00,4.70,,SE,6.21,9.32,,,,,NCD,no cloud detected,SCT,partly cloudy,IWC06,dust,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-02-29,53.60,68.00,50.00,50.00,0.00,13.87,,S,6.21,12.43,,,,,SCT,partly cloudy,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-03-01,46.40,71.60,39.20,51.80,0.00,4.70,,SW,6.21,12.43,,,,,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
